headline,rating,link
"“Delta plane that crashed in Toronto operated by Endeavor Air with all-female flight crew.”By Sofia Ahmed • February 21, 2025",,https://www.politifact.com/personalities/instagram-posts/
"Says Luigi Mangione posted on X, “He who saves his country does not violate any law.”By Ciara O'Rourke • February 21, 2025",,https://www.politifact.com/personalities/viral-image/
"“The media is showing how Obama’s birth certificate was changed! He was never born in the U.S. so he was never a real president!”By Ciara O'Rourke • February 21, 2025",,https://www.politifact.com/personalities/facebook-posts/
"President Joe Biden’s immigration policy was “a giant voter importation scam.”By Maria Ramirez Uribe • February 21, 2025",,https://www.politifact.com/personalities/elon-musk/
"El congresista Adriano Espaillat muestra “La nueva bandera que están promoviendo para República Dominicana que se va a llamar 'DominicoHaiti'”.By Maria Briceño • February 21, 2025",,https://www.politifact.com/personalities/facebook-posts/
"“US Debt Clock” numbers prove “DOGE has saved taxpayers $64 billion dollars in just 17 days.”By Sara Swann • February 21, 2025",,https://www.politifact.com/personalities/social-media/
"Video shows White House Press Secretary Karoline Leavitt saying Americans can get $4,800 subsidy because Department of Government Efficiency cuts found “extra money.”By Jeff Cercone • February 21, 2025",,https://www.politifact.com/personalities/facebook-posts/
"Says Barron Trump posted on X, “We’re on the brink of uncovering a dark legacy in this country that’s been hidden for far too long.”By Ciara O'Rourke • February 21, 2025",,https://www.politifact.com/personalities/instagram-posts/
"Says Elon Musk said on X, “Spoiled crybabies across the country are protesting against America’s golden age. Brats like them should go to prison.”By Ciara O'Rourke • February 21, 2025",,https://www.politifact.com/personalities/viral-image/
"“The very LIBERAL 9th Circuit Court has ruled that 84 of Biden's last-minute pardons are unconstitutional.”By Ciara O'Rourke • February 21, 2025",,https://www.politifact.com/personalities/facebook-posts/
"Video shows Barron Trump singing on “America’s Got Talent.”By Ciara O'Rourke • February 21, 2025",,https://www.politifact.com/personalities/facebook-posts/
"“You either have XX or XY chromosomes. Those are the options.”By Grace Abels • February 21, 2025",,https://www.politifact.com/personalities/nancy-mace/
"A photo shows Jonathan Simpson, the pilot of “Delta’s crash in Toronto, Canada.”By Sofia Ahmed • February 20, 2025",,https://www.politifact.com/personalities/threads-posts/
"“Elon Musk just ordered all federal workers to be tested for drugs and those that fail have 30 days to retest clean or be fired.”By Kwasi Gyamfi Asiedu • February 20, 2025",,https://www.politifact.com/personalities/threads-posts/
"Volodymyr Zelenskyy “started” the war in Ukraine with Russia.By Claire Cranford • February 19, 2025",,https://www.politifact.com/personalities/donald-trump/
"“Barack and Michelle Obama locked in bombshell divorce of the century.”By Jeff Cercone • February 19, 2025",,https://www.politifact.com/personalities/facebook-posts/
"“An ICE minivan was reportedly set on fire in Philadelphia.”By Sofia Ahmed • February 19, 2025",,https://www.politifact.com/personalities/social-media/
"Mexican President Claudia Sheinbaum said, “I told President (Donald) Trump the best way to make rapists and criminals feel unwelcome in the U.S. is for their citizens to stop electing them.”By Sara Swann • February 19, 2025",,https://www.politifact.com/personalities/facebook-posts/
"Michael Jordan said that “any athlete who kneels for our national anthem should lose their medal.”By Claire Cranford • February 19, 2025",,https://www.politifact.com/personalities/facebook-posts/
"Video shows X owner Elon Musk promoted a “bedtime trick” to cure diabetes.By Sofia Ahmed • February 19, 2025",,https://www.politifact.com/personalities/facebook-posts/
"Wisconsin does not “require judges to automatically recuse just because they have done some kind of legal work in the past as a lawyer.”By Hope Karnopp • February 19, 2025",,https://www.politifact.com/personalities/susan-crawford/
"“The NFL admits to canceling Elon's DOGE Super Bowl ads.”By Kwasi Gyamfi Asiedu • February 18, 2025",,https://www.politifact.com/personalities/threads-posts/
"“DOGE subcommittee discovered $2.7 trillion in improper” Medicaid and Medicare payments to people overseas.By Sofia Ahmed • February 18, 2025",,https://www.politifact.com/personalities/social-media/
"Rep. Nancy Pelosi has a $223,000 salary and a $202 million net worth. Sen. Mitch McConnell has a $200,000 salary and a $95 million net worth. Sen. Chuck Schumer has a $210,000 salary and a $75 million net worth. Sen. Elizabeth Warren has a $285,000 salary and a $67 million net worth.By Sara Swann • February 18, 2025",,https://www.politifact.com/personalities/tweets/
"The federal workforce grew from 2.1 to 3 million under President Joe Biden, “a 46% increase since Biden took office.”By Caleb McCullough • February 18, 2025",,https://www.politifact.com/personalities/tweets/
"“Elon Musk announced that he will not sell Tesla Cybertruck to anyone belonging to the ‘pride’ community.”By Grace Abels • February 17, 2025",,https://www.politifact.com/personalities/facebook-posts/
"“Mel Gibson passes on $100 million Netflix deal to work with Robert De Niro, declares: ‘Keep that woke clown away from me.’”By Loreben Tuquero • February 17, 2025",,https://www.politifact.com/personalities/facebook-posts/
"Under the SAVE Act, “if you are a woman that has changed your name from your birth certificate, let’s say through marriage … you are no longer eligible to vote.”By Caleb McCullough • February 17, 2025",,https://www.politifact.com/personalities/tiktok-posts/
"“FEMA sent $59M LAST WEEK to luxury hotels in New York City to house illegal migrants… That money is meant for American disaster relief.”By Maria Ramirez Uribe • February 14, 2025",,https://www.politifact.com/personalities/elon-musk/
"An episode of “The Simpsons” showed a President Donald Trump-like character in a coffin and predicted Feb. 14 would be the “day everything changes.”By Sofia Ahmed • February 14, 2025",,https://www.politifact.com/personalities/facebook-posts/
"Former USAID Administrator Samantha Power’s net worth “skyrocketed” from $6.7 million to $30 million in three years.By Loreben Tuquero • February 14, 2025",,https://www.politifact.com/personalities/mario-nawfal/
"Pennsylvania Gov. Josh Shapiro is “being charged with the attempted assassination of Trump.”By Jeff Cercone • February 14, 2025",,https://www.politifact.com/personalities/social-media/
"President Donald Trump said he “‘didn’t have time’ to meet the families of the men, women and children who tragically died in the plane crash.”By Kwasi Gyamfi Asiedu • February 14, 2025",,https://www.politifact.com/personalities/threads-posts/
"Photo shows National Intelligence Director Tulsi Gabbard and President Donald Trump at her swearing-in.By Ciara O'Rourke • February 14, 2025",,https://www.politifact.com/personalities/viral-image/
"The United States is “last in education out of 40 states … but we're number one in cost per pupil.""By Caleb McCullough • February 13, 2025",,https://www.politifact.com/personalities/donald-trump/
"Elon Musk spent $40 million to buy five Super Bowl Commercial ads to promote DOGE.By Sofia Ahmed • February 13, 2025",,https://www.politifact.com/personalities/facebook-posts/
"Coca-Cola “sells out its own workers to ICE.”By Maria Briceño • February 13, 2025",,https://www.politifact.com/personalities/instagram-posts/
"Video shows a sinkhole opened in New York City in February 2025.By Sara Swann • February 13, 2025",,https://www.politifact.com/personalities/instagram-posts/
"Video shows celebrities wearing T-shirts with graphics of a middle finger and the word “Kanye.”By Ciara O'Rourke • February 13, 2025",,https://www.politifact.com/personalities/viral-image/
"Says Kash Patel said, “FBI investigation uncovers 256 emails between Adam Schiff and Jeffrey Epstein.”By Ciara O'Rourke • February 12, 2025",,https://www.politifact.com/personalities/instagram-posts/
"Photo shows Mexican President Claudia Sheinbaum wearing a “Make America Mexicana Again” hat.By Ciara O'Rourke • February 12, 2025",,https://www.politifact.com/personalities/viral-image/
"Says Mexican President Claudia Sheinbaum told President Donald Trump, “They will beg us to tear down this ugly wall.”By Ciara O'Rourke • February 12, 2025",,https://www.politifact.com/personalities/facebook-posts/
"Bill Gates said, “Defunding USAID will bring about another mystery illness across the world.”By Sofia Ahmed • February 12, 2025",,https://www.politifact.com/personalities/social-media/
"“JAG arrests … USDA Inspector General Phyllis Fong.”By Ciara O'Rourke • February 11, 2025",,https://www.politifact.com/personalities/facebook-posts/
"Video shows President Donald Trump was “booed at the Super Bowl.”By Ciara O'Rourke • February 11, 2025",,https://www.politifact.com/personalities/viral-image/
"Says U.S. Sen. Elizabeth Warren said, “There is nothing in the Constitution that says ordinary citizens have a right to see what we spend our tax dollars on.”By Ciara O'Rourke • February 11, 2025",,https://www.politifact.com/personalities/instagram-posts/
"Photo shows someone raising two middle fingers at President Donald Trump at the 2025 Super Bowl.By Ciara O'Rourke • February 11, 2025",,https://www.politifact.com/personalities/viral-image/
"President Donald Trump posted that “the Chiefs’ Super Bowl performance was a disaster” and “too focused on DEI nonsense.”By Claire Cranford • February 11, 2025",,https://www.politifact.com/personalities/threads-posts/
"A ‘60 Minutes’ clip shows Kamala Harris lying while cameras roll. “By Sofia Ahmed • February 11, 2025",,https://www.politifact.com/personalities/instagram-posts/
"Ring is “alerting people about (Immigration and Customs Enforcement) raids.”By Caleb McCullough • February 10, 2025",,https://www.politifact.com/personalities/instagram-posts/
"As head football coach at Texas Tech University, “I recruited (Patrick Mahomes) ... I’ve got to be very good friends with him.”By Madison Czopek • February 9, 2025",,https://www.politifact.com/personalities/tommy-tuberville/
"At Guantánamo Bay, “we'll have the capacity to continue to do there what we've always done. We've always had a presence of illegal immigrants there that have been detained.”By Maria Ramirez Uribe • February 9, 2025",,https://www.politifact.com/personalities/kristi-noem/
"“Elon Musk officially cancelled USAID and fired all the staff. In his words, ‘we just toppled one of the biggest globalist terror organizations in history.’”By Sofia Ahmed • February 7, 2025",,https://www.politifact.com/personalities/facebook-posts/
"CBS News and “60 Minutes” “replaced” former Vice President Kamala Harris’ interview answers “with completely different, and far better, answers, taken from another part of the interview.”By Sara Swann • February 7, 2025",,https://www.politifact.com/personalities/donald-trump/
"The U.S. Army helicopter in the Jan. 29 plane collision was the same model of helicopter in the 2020 Kobe Bryant crash.By Kwasi Gyamfi Asiedu • February 7, 2025",,https://www.politifact.com/personalities/instagram-posts/
"Recent plane crashes in the United States were “human sacrifice rituals” for the Super Bowl.By Ciara O'Rourke • February 7, 2025",,https://www.politifact.com/personalities/instagram-posts/
"“Breaking news: Taylor Swift officially banned from Super Bowl 2025.”By Loreben Tuquero • February 7, 2025",,https://www.politifact.com/personalities/facebook-posts/
"“Elon Musk says Italians should stay in Italy and the Japanese in Japan.”By Ciara O'Rourke • February 7, 2025",,https://www.politifact.com/personalities/threads-posts/
"An image of a website error code shows the Trump administration “trolling” former Vice President Kamala Harris.By Ciara O'Rourke • February 7, 2025",,https://www.politifact.com/personalities/viral-image/
"Graphic shows that the U.S. Agency for International Development paid Chelsea Clinton $84 million.By Jeff Cercone • February 7, 2025",,https://www.politifact.com/personalities/social-media/
"An E! News report said USAID paid millions of dollars to sponsor American celebrity visits to Ukraine.By Sofia Ahmed • February 7, 2025",,https://www.politifact.com/personalities/instagram-posts/
"""Empresa Coca-Cola le pide perdón a los inmigrantes y le envían un mensaje especial a todos los afectados"".By Maria Briceño • February 7, 2025",,https://www.politifact.com/personalities/facebook-posts/
"Early reports of four survivors show “this DC plane crash story isn’t adding up.”By Madison Czopek • February 7, 2025",,https://www.politifact.com/personalities/facebook-posts/
"On support for U.S. Agency for International DevelopmentBy Claire Cranford • February 7, 2025",,https://www.politifact.com/personalities/marco-rubio/
"Says Elon Musk said, the Pentagon was spending $600 million a year on sushi.By Ciara O'Rourke • February 6, 2025",,https://www.politifact.com/personalities/facebook-posts/
"Video shows Robert Kennedy Jr. promoting a diabetes cure.By Ciara O'Rourke • February 6, 2025",,https://www.politifact.com/personalities/facebook-posts/
"Florida’s in-state college tuition waiver for immigrants in the country illegally costs the state $41 million.By Samantha Putterman • February 6, 2025",,https://www.politifact.com/personalities/randy-fine/
"Video shows Robert Kennedy Jr. promoting a diabetes cure.By Ciara O'Rourke • February 6, 2025",,https://www.politifact.com/personalities/facebook-posts/
"Video shows President Donald Trump saying Mexicans call him “peachy cool arrow.”By Loreben Tuquero • February 6, 2025",,https://www.politifact.com/personalities/instagram-posts/
"“Al patinador artístico estadounidense Jon Maravilla se le negó el embarque en el vuelo de American Airlines (hacía Washington D.C.) que posteriormente colisionó con un helicóptero”.By Maria Briceño • February 6, 2025",,https://www.politifact.com/personalities/threads-posts/
"Federal websites updated with a nine-star flag that represents the Confederacy.By Jeff Cercone • February 5, 2025",,https://www.politifact.com/personalities/social-media/
"From the U.S. Agency for International Development funding, “10 to 30 cents on the dollar is what actually goes to aid.”By Amy Sherman • February 5, 2025",,https://www.politifact.com/personalities/brian-mast/
"Video shows a missile crashed in a Philadelphia neighborhood Jan. 31, not a jet.By Ciara O'Rourke • February 5, 2025",,https://www.politifact.com/personalities/instagram-posts/
"“U.S. figure skater Jon Maravilla was reportedly prevented from boarding a doomed flight to Washington, D.C.”By Ciara O'Rourke • February 5, 2025",,https://www.politifact.com/personalities/threads-posts/
"“El gobernador de California le ha dejado las cosas bien claras a Donald Trump que si llega a deportar a los inmigrantes que viven en California el estado independizara de Estados Unidos y se unirá con México"".By Maria Briceño • February 5, 2025",,https://www.politifact.com/personalities/instagram-posts/
"Mexico’s President Claudia Sheinbaum said, “I’m confused. I keep hearing everyone from America saying that my country is sending felons and (rapists) into their country. We thought that was encouraged … considering that’s what they chose to be their president.”By Maria Briceño • February 5, 2025",,https://www.politifact.com/personalities/instagram-posts/
"“The Trump administration is giving each and every adult in America $18,000.”By Sara Swann • February 5, 2025",,https://www.politifact.com/personalities/instagram-posts/
"Ukrainian President Volodymyr Zelenskyy “just threw the whole Ukraine money laundering operation under the bus … by stating he’s received less than half of the over $177 billion in aid sent by the United States.”By Caleb McCullough • February 5, 2025",,https://www.politifact.com/personalities/facebook-posts/
"“Melania wins $900 million ‘defamation lawsuit’ against The View & Sunny Hostin.”By Sofia Ahmed • February 4, 2025",,https://www.politifact.com/personalities/threads-posts/
"Says White House Press Secretary Karoline Leavitt said, “Jesus didn’t have electricity and he did just fine.”By Ciara O'Rourke • February 4, 2025",,https://www.politifact.com/personalities/threads-posts/
"Video shows “airplane crash with helicopter in Washington D.C.”By Ciara O'Rourke • February 4, 2025",,https://www.politifact.com/personalities/facebook-posts/
"Ukrainian officials released list of “kickbacks” given to 18 U.S. politicians.By Jeff Cercone • February 4, 2025",,https://www.politifact.com/personalities/facebook-posts/
"CNN reported on the Potomac River plane and helicopter crash “hours before it happened.”By Madison Czopek • February 4, 2025",,https://www.politifact.com/personalities/instagram-posts/
"“Elon Musk shocks the world by blocking Pride on X forever: ‘Children must come first.’”By Ciara O'Rourke • February 4, 2025",,https://www.politifact.com/personalities/facebook-posts/
"The National Human Trafficking Hotline “in the last four years decided that they would no longer report tips to law enforcement, that they would take a more victim-centered approach.”By Samantha Putterman • February 4, 2025",,https://www.politifact.com/personalities/ashley-moody/
"We’re one of the very few nations that allowed birthright citizenship.”By Hope Karnopp • February 4, 2025",,https://www.politifact.com/personalities/ron-johnson/
"The Black Hawk helicopter involved in the American Airlines crash “was being controlled remotely.”By Sofia Ahmed • February 3, 2025",,https://www.politifact.com/personalities/threads-posts/
"Video shows a dam breaking Sept. 28, 2024, in North Carolina.By Ciara O'Rourke • February 3, 2025",,https://www.politifact.com/personalities/viral-image/
"Photo shows “a dangerous serial killer” named Jaden Williams in Monroe, Louisiana.By Sara Swann • February 3, 2025",,https://www.politifact.com/personalities/facebook-posts/
"“1,500 IRS agents have submitted letters of resignation after Trump announced he would put 90,000 superfluous IRS personnel on border patrol.”By Loreben Tuquero • February 3, 2025",,https://www.politifact.com/personalities/instagram-posts/
